mse,rmse,ndcg@10,precision@10,recall@10,f1@10,custom_embedding_dim,random_embedding_dim,custom_dropout_rate,random_dropout_rate,custom_learning_rate,random_learning_rate,fc_dropout_rate,fc_learning_rate,batch_size,num_epochs
2.3761642,1.5414811,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.0,0.0,0.001,0.001,0.0,0.001,128,20
2.5519707,1.5974889,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.0,0.0,0.001,0.001,0.0,0.001,128,40
2.338131,1.5290948,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.0,0.0,0.001,0.001,0.0,0.001,512,20
2.5019372,1.5817513,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.0,0.0,0.001,0.001,0.0,0.001,512,40
2.2562087,1.5020682,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.0,0.0,0.001,0.001,0.3,0.001,128,20
2.091425,1.4461759,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.0,0.0,0.001,0.001,0.3,0.001,128,40
2.298409,1.5160505,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.0,0.0,0.001,0.001,0.3,0.001,512,20
2.3731155,1.5404919,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.0,0.0,0.001,0.001,0.3,0.001,512,40
2.2444572,1.4981513,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.3,0.0,0.001,0.001,0.0,0.001,128,20
2.2452521,1.4984165,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.3,0.0,0.001,0.001,0.0,0.001,128,40
2.3014996,1.5170695,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.3,0.0,0.001,0.001,0.0,0.001,512,20
2.2848146,1.5115603,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.3,0.0,0.001,0.001,0.0,0.001,512,40
2.2398381,1.4966089,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.3,0.0,0.001,0.001,0.3,0.001,128,20
2.3108215,1.5201386,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.3,0.0,0.001,0.001,0.3,0.001,128,40
2.2912736,1.5136954,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.3,0.0,0.001,0.001,0.3,0.001,512,20
2.3137581,1.5211042,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,5,0.3,0.0,0.001,0.001,0.3,0.001,512,40
2.4225316,1.5564483,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.0,0.0,0.001,0.001,0.0,0.001,128,20
2.2656004,1.5051912,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.0,0.0,0.001,0.001,0.0,0.001,128,40
2.2799585,1.5099531,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.0,0.0,0.001,0.001,0.0,0.001,512,20
2.3545494,1.5344541,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.0,0.0,0.001,0.001,0.0,0.001,512,40
2.445848,1.5639207,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.0,0.0,0.001,0.001,0.3,0.001,128,20
2.167177,1.4721335,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.0,0.0,0.001,0.001,0.3,0.001,128,40
2.4517941,1.5658206,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.0,0.0,0.001,0.001,0.3,0.001,512,20
2.0937877,1.4469926,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.0,0.0,0.001,0.001,0.3,0.001,512,40
2.5618813,1.6005878,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.3,0.0,0.001,0.001,0.0,0.001,128,20
2.349306,1.5327446,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.3,0.0,0.001,0.001,0.0,0.001,128,40
2.1908765,1.480161,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,5,8,0.3,0.0,0.001,0.001,0.0,0.001,512,20
